energy,point_index,dof:dcm_roll,dof:m2_yaw,dof:m2_lateral,outcome:alignment_cost:mean,outcome:alignment_cost:sem,outcome:centroid_distance:mean,outcome:centroid_distance:sem,outcome:centroid_x:mean,outcome:centroid_x:sem,outcome:centroid_x_distance:mean,outcome:centroid_x_distance:sem,outcome:centroid_y:mean,outcome:centroid_y:sem,outcome:fwhm_x:mean,outcome:fwhm_x:sem,outcome:fwhm_y:mean,outcome:fwhm_y:sem,outcome:intensity:mean,outcome:intensity:sem,outcome:intensity_ratio:mean,outcome:intensity_ratio:sem
Cr,8,-0.23962069053851429,0.2502923115709746,-1.1156804835138303,0.5274265999309626,nan,3.717398916489785,nan,708.1824685262998,nan,0.10037488653381388,nan,660.7444144392983,nan,28.232853000079558,nan,14.555540414126085,nan,476.825548171997,nan,1.0013393801071253,nan
Fe,21,-0.4625982708035012,-0.1210403733856989,-1.0348651979413532,0.6230099147179184,nan,1.5055811448541383,nan,708.4377519612149,nan,0.35565832144891374,nan,655.565400721792,nan,28.523126462748564,nan,14.988652454106841,nan,495.7020597457885,nan,0.9859344276316044,nan
Cu,21,-0.9734773294556474,0.14666883103574804,-1.3704129350455565,0.6958648839786532,nan,8.461491460446624,nan,708.2019040586742,nan,0.11981041890828692,nan,665.4890140905362,nan,35.056645033043196,nan,13.364778425550412,nan,473.2750492095947,nan,1.0305173472044462,nan
Ge,23,-0.8771821895249108,0.054916467728890174,-1.1966654051036234,0.6162309441770495,nan,11.341176904796942,nan,708.4564341846341,nan,0.37434054486811874,nan,668.3633681536744,nan,32.95753625743066,nan,12.772446371488513,nan,301.69712257385254,nan,0.9899948955637192,nan
Br,20,-0.32167524954575555,0.02730936382041037,-0.8981883975634418,0.5914902755489708,nan,11.921891813493195,nan,707.4544503325604,nan,0.627643307205517,nan,668.9337297055932,nan,28.78980134520691,nan,12.285051652052061,nan,148.8126754760742,nan,1.0028789256679416,nan
Rb,5,-1.3614427739357957,0.2508429190173732,-1.1756361298374833,0.8527809532715546,nan,5.320637706772999,nan,710.228110807326,nan,2.1460171675599895,nan,661.8970253262868,nan,27.760630563125574,nan,13.780284279626585,nan,76.31489086151123,nan,0.9613225874151999,nan
Y,3,0.028562190609573435,0.12896587271541227,-0.8376785651892424,0.7728424362950557,nan,8.401265932055633,nan,710.3733198312385,nan,2.2912261914725605,nan,665.1111644640789,nan,27.179800656578436,nan,10.901552028100127,nan,37.67543029785157,nan,0.9848530937815841,nan
Mo,4,-0.09592081360280602,0.1903498671978699,-0.8149886664114894,0.6211605582276964,nan,11.890006245054488,nan,707.3329798947098,nan,0.7491137450562064,nan,668.8947552314958,nan,27.375089088399932,nan,12.020162106321209,nan,9.316597938537598,nan,0.9553543260731254,nan
